13.88,-2.64,10.46
10.64,-0.91,9.50
9.22,-1.93,5.89
8.87,-4.50,1.66
7.09,-4.79,0.14
3.80,-3.11,-0.69
1.41,-2.43,-2.04
0.51,-2.72,-4.00
1.44,-4.53,-7.89
-0.52,-3.11,-8.70
-2.66,-3.63,-11.00
-4.34,-3.49,-11.60
-5.06,-3.49,-12.86
-5.85,-3.08,-14.79
-5.41,-3.76,-16.93
-3.35,-5.63,-18.33
-2.17,-5.55,-16.19
-2.58,-5.45,-13.49
-3.56,-5.23,-14.76
-0.77,-5.27,-9.66
0.60,-5.02,-6.57
2.42,-6.19,-6.67
2.67,-4.63,-4.60
3.14,-4.70,-2.87
3.45,-2.70,-0.57
5.08,-3.17,0.60
6.05,-2.03,3.89
6.75,-2.07,3.70
9.01,-2.57,5.22
11.82,-3.81,7.32
14.93,-5.56,9.12
18.36,-6.60,12.64
16.27,-4.52,10.40
13.10,-3.01,8.30
11.95,-2.12,8.05
11.23,-2.86,5.45
7.82,-2.90,2.67
4.60,-2.41,0.86
3.10,-2.68,-1.05
4.23,-4.35,-2.66
1.95,-2.70,-2.18
-1.24,-2.09,-5.73
-2.34,-3.21,-9.60
-2.93,-3.55,-10.93
-3.85,-2.93,-10.85
-4.14,-3.25,-11.97
-3.13,-3.91,-14.20
-2.67,-4.43,-15.44
-3.04,-4.51,-18.12
-3.02,-5.02,-18.71
-3.10,-5.08,-17.94
-2.92,-5.46,-16.43
-2.84,-4.36,-12.39
-0.22,-4.55,-7.55
0.78,-5.47,-7.51
1.43,-4.82,-5.60
1.08,-3.77,-4.08
1.90,-2.09,-1.19
3.37,-1.59,2.18
6.01,-2.38,3.50
7.38,-2.82,4.35
8.34,-3.18,5.23
10.37,-3.65,7.50
12.40,-4.54,9.27
17.34,-7.26,10.72
18.83,-6.79,10.73
12.91,-3.08,8.33
9.43,-2.31,6.10
8.79,-2.66,5.43
7.26,-3.18,3.14
6.29,-4.73,-0.81
5.37,-5.18,-1.37
3.21,-4.37,-1.83
2.65,-4.53,-3.14
-0.04,-2.44,-3.95
-1.97,-2.46,-8.57
-2.14,-4.24,-12.65
-2.03,-5.19,-13.67
-2.89,-4.06,-11.77
-3.35,-3.71,-12.18
-5.00,-3.27,-14.43
-5.64,-3.65,-18.16
-4.23,-4.99,-19.13
-2.31,-5.23,-16.86
-4.19,-4.63,-14.03
-3.39,-5.04,-13.79
-1.84,-5.14,-11.82
-0.84,-4.20,-7.92
1.29,-3.75,-3.63
2.58,-4.11,-1.55
2.50,-3.08,-1.08
4.10,-2.73,1.07
6.07,-2.86,2.26
8.23,-3.72,3.19
9.09,-3.86,4.04
10.04,-3.68,6.06
11.36,-3.73,7.63
11.83,-3.66,8.44
13.35,-5.53,6.79
16.70,-6.79,8.77
14.29,-3.97,9.39
10.25,-1.98,7.61
9.52,-3.70,4.08
8.69,-4.45,3.74
5.25,-3.52,2.22
3.58,-3.65,0.78
2.12,-4.47,-1.98
2.98,-5.31,-3.05
1.17,-4.26,-3.70
-0.11,-3.89,-6.06
-1.13,-4.90,-10.09
-2.52,-5.15,-11.01
-3.14,-5.32,-11.99
-3.00,-5.16,-11.52
-4.87,-4.15,-13.12
-7.56,-4.31,-18.40
-4.53,-5.39,-19.12
